gmDate,gmTime,seasTyp,playLNm,playFNm,teamAbbr,teamConf,teamDiv,teamLoc,teamRslt,teamDayOff,offLNm1,offFNm1,offLNm2,offFNm2,offLNm3,offFNm3,playDispNm,playStat,playMin,playPos,playHeight,playWeight,playBDate,playPTS,playAST,playTO,playSTL,playBLK,playPF,playFGA,playFGM,playFG%,play2PA,play2PM,play2P%,play3PA,play3PM,play3P%,playFTA,playFTM,playFT%,playORB,playDRB,playTRB,opptAbbr,opptConf,opptDiv,opptLoc,opptRslt,opptDayOff
3/19/18,7:30,Regular,Murray,Jamal,DEN,West,Northwest,Away,Loss,1,Petraitis,Gediminas,Phillips,Jason,Ayotte,Mark,Jamal Murray,Starter,43,PG,76,207,2/23/97,23,5,0,0,0,5,16,5,0.3125,8,1,0.125,8,4,0.5,11,9,0.8182,1,4,5,MIA,East,Southeast,Home,Win,2
12/4/17,8:30,Regular,Murray,Jamal,DEN,West,Northwest,Away,Loss,1,Petraitis,Gediminas,Mauer,Ken,Wall,Scott,Jamal Murray,Starter,28,PG,76,207,2/23/97,22,0,0,1,1,2,12,7,0.5833,4,3,0.75,8,4,0.5,4,4,1,0,0,0,DAL,West,Southwest,Home,Win,2
12/26/17,9:00,Regular,Murray,Jamal,DEN,West,Northwest,Home,Win,3,Maddox,Tre,Ervin,Mitchell,Davis,Marc,Jamal Murray,Starter,35,PG,76,207,2/23/97,22,2,4,1,0,0,15,9,0.6,9,6,0.6667,6,3,0.5,1,1,1,2,6,8,UTA,West,Northwest,Away,Loss,3
3/9/18,9:00,Regular,Murray,Jamal,DEN,West,Northwest,Home,Win,1,Orr,J.T.,Garretson,Ron,Kennedy,Bill,Jamal Murray,Starter,35,PG,76,207,2/23/97,22,8,4,4,1,0,12,5,0.4167,7,3,0.4286,5,2,0.4,11,10,0.9091,0,3,3,LAL,West,Pacific,Away,Loss,1
4/5/18,10:30,Regular,Murray,Jamal,DEN,West,Northwest,Home,Win,2,Williams,James,Petraitis,Gediminas,Mauer,Ken,Jamal Murray,Starter,36,PG,76,207,2/23/97,22,1,1,0,1,4,16,8,0.5,10,5,0.5,6,3,0.5,3,3,1,2,0,2,MIN,West,Northwest,Away,Loss,4
12/27/17,8:00,Regular,Murray,Jamal,DEN,West,Northwest,Away,Loss,0,Workman,Haywoode,Buchert,Nick,Capers,James,Jamal Murray,Starter,46,PG,76,207,2/23/97,21,8,1,0,0,2,20,8,0.4,11,6,0.5455,9,2,0.2222,3,3,1,1,6,7,MIN,West,Northwest,Home,Win,1
1/8/18,10:30,Regular,Murray,Jamal,DEN,West,Northwest,Away,Loss,2,Kogut,Marat,Kennedy,Bill,Richardson,Derek,Jamal Murray,Starter,42,PG,76,207,2/23/97,21,6,2,1,0,2,22,8,0.3636,16,6,0.375,6,2,0.3333,4,3,0.75,2,0,2,GS,West,Pacific,Home,Win,2
10/30/17,7:30,Regular,Murray,Jamal,DEN,West,Northwest,Away,Loss,1,Buchert,Nick,Petraitis,Gediminas,Lewis,Eric,Jamal Murray,Starter,32,PG,76,207,2/23/97,20,2,2,1,0,0,16,8,0.5,7,6,0.8571,9,2,0.2222,2,2,1,1,2,3,NY,East,Atlantic,Home,Win,1
3/11/18,5:00,Regular,Murray,Jamal,DEN,West,Northwest,Home,Win,1,Smith,Aaron,Kirkland,Courtney,Zarba,Zach,Jamal Murray,Starter,29,PG,76,207,2/23/97,20,5,1,0,0,0,16,8,0.5,9,6,0.6667,7,2,0.2857,2,2,1,0,3,3,SAC,West,Pacific,Away,Loss,1
4/11/18,8:00,Regular,Murray,Jamal,DEN,West,Northwest,Away,Loss,1,Scott,Kevin,Brothers,Tony,Boland,Matt,Jamal Murray,Starter,43,PG,76,207,2/23/97,20,6,1,1,0,3,18,8,0.4444,11,6,0.5455,7,2,0.2857,4,2,0.5,3,3,6,MIN,West,Northwest,Home,Win,2
2/25/18,8:00,Regular,Murray,Jamal,DEN,West,Northwest,Home,Loss,1,Taylor,Dedric,Davis,Marc,Lewis,Eric,Jamal Murray,Starter,36,PG,76,207,2/23/97,19,5,3,0,0,4,13,8,0.6154,8,5,0.625,5,3,0.6,0,0,0,1,1,2,HOU,West,Southwest,Away,Win,2
4/7/18,3:30,Regular,Murray,Jamal,DEN,West,Northwest,Away,Win,1,Zielinski,Gary,Wood,Leon,Davis,Marc,Jamal Murray,Starter,40,PG,76,207,2/23/97,19,7,1,0,0,1,10,8,0.8,9,8,0.8889,1,0,0,3,3,1,1,2,3,LAC,West,Pacific,Home,Loss,1
11/13/17,10:00,Regular,Murray,Jamal,DEN,West,Northwest,Away,Loss,2,Lindsay,Mark,Brown,Tony,Richardson,Derek,Jamal Murray,Starter,39,PG,76,207,2/23/97,18,0,6,1,0,2,19,7,0.3684,12,7,0.5833,7,0,0,4,4,1,4,1,5,POR,West,Northwest,Home,Win,3
11/20/17,10:00,Regular,Murray,Jamal,DEN,West,Northwest,Away,Win,1,Dalen,Eric,Kennedy,Bill,Richardson,Derek,Jamal Murray,Starter,24,PG,76,207,2/23/97,18,1,1,0,0,4,10,6,0.6,7,5,0.7143,3,1,0.3333,5,5,1,0,2,2,SAC,West,Pacific,Home,Loss,2
1/6/18,10:00,Regular,Murray,Jamal,DEN,West,Northwest,Away,Loss,1,Tiven,Josh,Petraitis,Gediminas,Zielinski,Gary,Jamal Murray,Starter,37,PG,76,207,2/23/97,18,0,5,0,2,5,16,7,0.4375,8,4,0.5,8,3,0.375,1,1,1,1,4,5,SAC,West,Pacific,Home,Win,4
1/25/18,9:00,Regular,Murray,Jamal,DEN,West,Northwest,Home,Win,3,Buchert,Nick,Taylor,Dedric,Foster,Scott,Jamal Murray,Starter,35,PG,76,207,2/23/97,18,5,5,0,0,4,13,6,0.4615,8,4,0.5,5,2,0.4,4,4,1,0,5,5,NY,East,Atlantic,Away,Loss,1
1/30/18,8:30,Regular,Murray,Jamal,DEN,West,Northwest,Away,Loss,0,Forte,Brian,Richardson,Leroy,Fraher,Pat,Jamal Murray,Starter,34,PG,76,207,2/23/97,18,1,0,1,1,1,12,5,0.4167,6,2,0.3333,6,3,0.5,5,5,1,0,6,6,SA,West,Southwest,Home,Win,2
2/5/18,9:00,Regular,Murray,Jamal,DEN,West,Northwest,Home,Win,2,Fitzgerald,Kane,Scott,Kevin,Nansel,Brett,Jamal Murray,Starter,32,PG,76,207,2/23/97,18,7,2,2,0,3,15,7,0.4667,7,3,0.4286,8,4,0.5,0,0,0,1,3,4,CHA,East,Southeast,Away,Loss,1
2/27/18,10:30,Regular,Murray,Jamal,DEN,West,Northwest,Home,Loss,4,Maddox,Tre,Stafford,Derrick,Ayotte,Mark,Jamal Murray,Starter,33,PG,76,207,2/23/97,18,5,5,1,0,4,11,7,0.6364,9,7,0.7778,2,0,0,4,4,1,1,1,2,LAC,West,Pacific,Away,Win,4
3/13/18,10:30,Regular,Murray,Jamal,DEN,West,Northwest,Away,Loss,2,Workman,Haywoode,Corbin,Sean,Washington,Tom,Jamal Murray,Starter,34,PG,76,207,2/23/97,18,4,4,2,0,3,11,5,0.4545,4,2,0.5,7,3,0.4286,6,5,0.8333,0,6,6,LAL,West,Pacific,Home,Win,2
2/13/18,10:30,Regular,Murray,Jamal,DEN,West,Northwest,Home,Win,3,Orr,J.T.,Zielinski,Gary,Washington,Tom,Jamal Murray,Starter,38,PG,76,207,2/23/97,17,1,3,2,0,4,9,6,0.6667,3,3,1,6,3,0.5,3,2,0.6667,2,3,5,SA,West,Southwest,Away,Loss,1
3/26/18,7:00,Regular,Murray,Jamal,DEN,West,Northwest,Away,Loss,3,Orr,J.T.,Foster,Scott,Mott,Rodney,Jamal Murray,Starter,36,PG,76,207,2/23/97,17,3,1,2,2,2,18,7,0.3889,10,5,0.5,8,2,0.25,1,1,1,0,3,3,PHI,East,Atlantic,Home,Win,2
